id,set_id,pair,eq_dt,eq_length,eq_name,pga,scale_factor
1,1,1,0.02,1050,RSN139_TABAS_DAY-L1,0.3238904,1.8877425
2,1,2,0.02,1050,RSN139_TABAS_DAY-T1,0.409375,1.8877425
3,2,1,0.01,5435,RSN15_KERN_TAF021,0.1588854,2.8645675
4,2,2,0.01,5437,RSN15_KERN_TAF111,0.1802857,2.8645675
5,3,1,0.0029,12712,RSN285_ITALY_A-BAG000,0.129652,1.7969275
6,3,2,0.0029,12712,RSN285_ITALY_A-BAG270,0.1897467,1.7969275
7,4,1,0.0024,14672,RSN289_ITALY_A-CTR000,0.1264284,1.9188
8,4,2,0.0024,14672,RSN289_ITALY_A-CTR270,0.1363679,1.9188
9,5,1,0.01,4132,RSN313_CORINTH_COR--L,0.236771,1.7756075
10,5,2,0.01,4094,RSN313_CORINTH_COR--T,0.2964422,1.7756075
11,6,1,0.01,5999,RSN335_COALINGA.H_H-Z10000,0.07357106,2.308095
12,6,2,0.01,5999,RSN335_COALINGA.H_H-Z10090,0.1321694,2.308095
13,7,1,0.0025,4113,RSN495_NAHANNI_S1010,1.107881,1.4412525
14,7,2,0.0025,4113,RSN495_NAHANNI_S1280,1.200681,1.4412525
15,8,1,0.0024,12188,RSN564_GREECE_H-KAL-NS,0.2385868,1.9892175
16,8,2,0.0024,12241,RSN564_GREECE_H-KAL-WE,0.2723725,1.9892175
17,9,1,0.02,2467,RSN587_NEWZEAL_A-MAT083,0.2838931,2.203955
18,9,2,0.02,2467,RSN587_NEWZEAL_A-MAT353,0.240787,2.203955
19,10,1,0.005,7998,RSN731_LOMAP_A10000,0.1028556,2.3247
20,10,2,0.005,7998,RSN731_LOMAP_A10090,0.08896829,2.3247
21,11,1,0.005,7998,RSN735_LOMAP_A07000,0.1570033,2.9037225
22,11,2,0.005,7999,RSN735_LOMAP_A07090,0.08806617,2.9037225
